[2025-03-16T02:31:24.685819] Added Carrot at (5, 0).
[2025-03-16T02:32:07.806394] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:32:07.806672] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:32:07.806870] Watering system activated at (0,5) for Lavender
[2025-03-16T02:32:07.807103] Watering system activated at (1,5) for Corn
[2025-03-16T02:32:07.807295] Watering system activated at (2,0) for Corn
[2025-03-16T02:32:07.807475] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:32:07.807670] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:32:07.807854] Watering system activated at (5,0) for Carrot
[2025-03-16T02:32:07.808036] Watering system activated at (5,2) for Carrot
[2025-03-16T02:32:07.808214] Watering system activated at (5,5) for Lavender
[2025-03-16T02:32:07.808396] Watering system activated at (6,0) for Corn
[2025-03-16T02:32:07.808586] Watering system activated at (6,3) for Corn
[2025-03-16T02:32:07.808768] Watering system activated at (6,5) for Carrot
[2025-03-16T02:32:07.808913] Watering system activated at (7,2) for Carrot
[2025-03-16T02:32:07.809078] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:32:07.809266] Harvesting system activated.
[2025-03-16T02:32:08.805280] Water evaporated. Remaining water: 78000 ml.
[2025-03-16T02:32:08.806004] Watering system activated at (0,0) for Lavender
[2025-03-16T02:32:08.806401] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:32:08.806632] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:32:08.806829] Watering system activated at (0,5) for Lavender
[2025-03-16T02:32:08.807010] Watering system activated at (1,5) for Corn
[2025-03-16T02:32:08.807188] Watering system activated at (2,0) for Corn
[2025-03-16T02:32:08.807363] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:32:08.807533] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:32:08.807708] Watering system activated at (5,0) for Carrot
[2025-03-16T02:32:08.807874] Watering system activated at (5,2) for Carrot
[2025-03-16T02:32:08.808086] Watering system activated at (5,5) for Lavender
[2025-03-16T02:32:08.808291] Watering system activated at (6,0) for Corn
[2025-03-16T02:32:08.808462] Watering system activated at (6,3) for Corn
[2025-03-16T02:32:08.808647] Watering system activated at (6,5) for Carrot
[2025-03-16T02:32:08.808785] Watering system activated at (7,2) for Carrot
[2025-03-16T02:32:08.808935] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:32:08.809139] Harvesting system activated.
